mobile_price,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight
8999,16.56,1152000,10,8,2,32,3,5000,75,164.4,8.95,195
8999,16.56,1152000,10,8,2,32,3,5000,75,164.4,8.95,195
9999,16.56,1152000,10,8,2,64,4,5000,75,164.4,8.95,195
9999,16.56,1152000,10,8,2,64,4,5000,75,164.4,8.95,195
11999,16.51,1152000,10,8,2,128,4,5000,75.4,164.4,9,199
11999,16.51,1152000,10,8,2,128,4,5000,75.4,164.4,9,199
14999,16,2527200,9,8,2.3,64,6,4035,74.2,157,8.9,184
16999,16,2527200,9,8,2.3,128,8,4035,74.2,157,8.9,184
16999,16,2527200,9,8,2.3,128,8,4035,74.2,157,8.9,184
13999,16,2527200,9,8,2.3,64,4,4035,74.2,157,8.9,184
35999,16.51,2592000,9,8,2.96,256,12,4000,75.7,161,8.7,199
35999,16.51,2592000,9,8,2.96,256,12,4000,75.7,161,8.7,199
31999,16.51,2592000,9,8,2.96,128,8,4000,75.7,161,8.7,199
31999,16.51,2592000,9,8,2.96,128,8,4000,75.7,161,8.7,199
15490,16,2527200,8,8,1.95,128,8,3500,74,156.7,8.5,174
16999,16.26,2527200,9,8,2.3,64,4,4000,75.16,158.7,8.55,183
16999,16.26,2527200,9,8,2.3,64,4,4000,75.16,158.7,8.55,183
41999,16.36,2592000,10,8,2.8,128,8,4200,74.24,158.96,9.65,207
41999,16.36,2592000,10,8,2.8,128,8,4200,74.24,158.96,9.65,207
46999,16.36,2592000,10,8,2.8,256,12,4200,74.24,158.96,9.65,207
8999,16.56,1152000,10,8,2,32,3,5000,75,164.4,8.95,195
16999,16.51,2592000,10,8,2.05,128,6,4300,74.8,162.1,9.6,191
19999,16.76,2592000,10,8,2.3,128,8,4300,75.8,163.9,9.4,195
19999,16.76,2592000,10,8,2.3,128,8,4300,75.8,163.9,9.4,195
6999,15.49,1123200,9,8,2,32,2,4000,73.7,154.3,8.5,166
6999,15.49,1123200,9,8,2,32,2,4000,73.7,154.3,8.5,166
7499,15.49,1123200,9,8,2,32,3,4000,73.7,154.3,8.5,166
7499,15.49,1123200,9,8,2,32,3,4000,73.7,154.3,8.5,166
7499,15.49,1123200,9,8,2,32,3,4000,73.7,154.3,8.5,166
17999,16.51,2592000,10,8,2.05,128,8,4300,74.8,162.1,9.6,191
7499,15.49,1123200,9,8,2,32,3,4000,73.7,154.3,8.5,166
13999,16,2527200,9,8,2.3,64,4,4035,74.2,157,8.9,184
11999,16.51,1152000,9,8,2,128,4,5000,75.6,164.4,9.3,198
10999,16.51,1152000,9,8,2,64,4,5000,75.6,164.4,9.3,198
11999,16.51,1152000,9,8,2,128,4,5000,75.6,164.4,9.3,198
10999,16.51,1152000,9,8,2,64,4,5000,75.6,164.4,9.3,198
11999,16.51,1152000,9,8,2,128,4,5000,75.6,164.4,9.3,198
10999,16.51,1152000,9,8,2,64,4,5000,75.6,164.4,9.3,198
29999,16.51,2592000,9,8,2.96,64,6,4000,75.7,161,8.7,199
29999,16.51,2592000,9,8,2.96,64,6,4000,75.7,161,8.7,199
36999,16.51,2592000,9,8,2.96,256,12,4000,75.7,161,8.7,199
36999,16.51,2592000,9,8,2.96,256,12,4000,75.7,161,8.7,199
17999,16.51,2592000,10,8,2.05,128,8,4300,74.8,162.1,9.6,191
7499,15.49,1123200,9,8,2,32,3,4000,73.7,154.3,8.5,166
13999,16,2527200,9,8,2.3,64,4,4035,74.2,157,8.9,184
11999,16.51,1152000,9,8,2,128,4,5000,75.6,164.4,9.3,198
10999,16.51,1152000,9,8,2,64,4,5000,75.6,164.4,9.3,198
11999,16.51,1152000,9,8,2,128,4,5000,75.6,164.4,9.3,198
10999,16.51,1152000,9,8,2,64,4,5000,75.6,164.4,9.3,198
11999,16.51,1152000,9,8,2,128,4,5000,75.6,164.4,9.3,198
10999,16.51,1152000,9,8,2,64,4,5000,75.6,164.4,9.3,198
29999,16.51,2592000,9,8,2.96,64,6,4000,75.7,161,8.7,199
29999,16.51,2592000,9,8,2.96,64,6,4000,75.7,161,8.7,199
36999,16.51,2592000,9,8,2.96,256,12,4000,75.7,161,8.7,199
36999,16.51,2592000,9,8,2.96,256,12,4000,75.7,161,8.7,199
19999,16.26,2527200,9,8,2.2,128,6,4000,75.2,158.7,8.6,182
19999,16.26,2527200,9,8,2.2,128,6,4000,75.2,158.7,8.6,182
17999,16.26,2527200,9,8,2.2,64,4,4000,75.2,158.7,8.6,182
17999,16.26,2527200,9,8,2.2,64,4,4000,75.2,158.7,8.6,182
20999,16.26,2527200,9,8,2.2,128,8,4000,75.2,158.7,8.6,182
19999,16.26,2527200,9,8,2.2,128,6,4000,75.2,158.7,8.6,182
20999,16.26,2527200,9,8,2.2,128,8,4000,75.2,158.7,8.6,182
20999,16.26,2527200,9,8,2.2,128,8,4000,75.2,158.7,8.6,182
6499,15.49,1123200,9,8,2,16,2,4000,73.7,154.3,8.5,166
11999,16.51,1152000,10,8,2,128,4,5000,75.4,164.4,9,199
25999,16.69,2592000,10,8,2.96,128,8,4200,75.8,163.8,9.3,202
24999,16.69,2592000,10,8,2.96,128,6,4200,75.8,163.8,9.3,202
25999,16.69,2592000,10,8,2.96,128,8,4200,75.8,163.8,9.3,202
27999,16.69,2592000,10,8,2.96,128,8,4200,75.8,163.8,9.3,202
32999,16.69,2592000,10,8,2.96,256,12,4200,75.8,163.8,9.3,202
32999,16.69,2592000,10,8,2.96,256,12,4200,75.8,163.8,9.3,202
27999,16.69,2592000,10,8,2.96,128,8,4200,75.8,163.8,9.3,202
8499,15.8,1094400,9,8,2.1,32,3,4230,75.6,156.1,8.3,175
9499,15.8,1094400,9,8,2.1,64,4,4230,75.6,156.1,8.3,175
9499,15.8,1094400,9,8,2.1,64,3,4230,75.6,156.1,8.3,175
9499,15.8,1094400,9,8,2.1,64,3,4230,75.6,156.1,8.3,175
8499,15.8,1094400,9,8,2.1,32,3,4230,75.6,156.1,8.3,175
10499,15.8,1094400,9,8,2.1,64,4,4230,75.6,156.1,8.3,175
10499,15.8,1094400,9,8,2.1,64,4,4230,75.6,156.1,8.3,175
9799,15.8,1094400,9,8,1.95,64,4,5000,75.41,156.48,9.4,188
9799,15.8,1094400,9,8,1.95,64,4,5000,75.41,156.48,9.4,188
24999,16.23,2527200,9,8,2.84,128,6,4000,74.3,156.7,8.8,191
16999,16.94,2592000,10,8,2.3,64,4,5020,76.68,165.75,8.8,209
24999,16.23,2527200,9,8,2.84,128,6,4000,74.3,156.7,8.8,191
16939,15.44,1123200,9,8,2,128,6,4030,71.85,153.48,8.475,173.8
24999,16.23,2527200,9,8,2.84,128,6,4000,74.3,156.7,8.8,191
16999,16,2527200,9,8,2,128,6,4000,75.21,159.21,8.1,186
14999,15.44,1123200,9,8,2,128,6,4030,71.85,153.48,8.475,173.8
16999,15.21,2332800,7,8,2.5,128,6,3400,75.49,151.86,7.7,185
24999,16.23,2527200,9,8,2.84,128,6,4000,74.3,156.7,8.8,191
17350,15.44,1123200,9,8,2,128,6,4030,71.85,153.48,8.475,173.8
29999,16.23,2527200,9,8,2.84,256,8,4000,74.3,156.7,8.8,191
13999,16,2527200,9,8,2,128,6,4000,75.21,159.21,8.1,186
21999,16.23,2527200,9,8,2.2,64,6,4000,74.3,156.7,8.8,191
13495,15.21,1036800,8,8,2,64,4,3080,77.26,160.73,8.1,168
29999,16.23,2527200,9,8,2.84,256,8,4000,74.3,156.7,8.8,191
